index,names,authorId,message,aliases,citationCount,papers
59,Emilio Ferrara,123750282,,"['F Emilio', 'Ferrara Emilio']",6.0,Computer Science
60,Emily Sullivan,47992007,,"['E. Sullivan', 'Emily Rose Sullivan', 'Emily Sullivan']",105.0,Medicine
61,Erdem Yörük,133934946,,['Erdem Yörük'],3.0,Philosophy
62,Ethan Bernstein,2068522604,,"['Ethan Bernstein', 'Ethan M. Bernstein']",111.0,Medicine
63,Farhana Ferdousi Liza,3445542,,"['F.f. Liza', 'Farhana Ferdousi Liza']",205.0,Computer Science
64,Fauna Mahootian,2091697787,,,7.0,Computer Science
65,Felicia Loecherbach,66124729,,"['F. Löcherbach', 'Felicia Loecherbach', 'Felicia Löcherbach']",12.0,Computer Science
66,Felix Victor Münch,101726506,,"['Felix Münch', 'Felix Victor Münch']",143.0,Computer Science
67,Fiona Murray,46455367,,"['F Murray', 'Fiona Murray']",20.0,Political Science
68,Flavio Pinheiro ,144130084,,"['Flavio L. Pinheiro', 'Flavio Leao Pinheiro', 'Flavio Pinheiro', 'Flávio Pinheiro']",48.0,Political Science
69,Fragkiskos Malliaros,2817467,,"['Fragkiskos D Malliaros', 'Fragkiskos Malliaros']",1432.0,Computer Science
70,Frank Schweitzer,1733303,,,,
71,Frank van der Wouden,2117664415,,,,
72,Frederico Francisco,90039686,,,,
73,Fumiaki Taka,2144650010,,,,
74,Gabor Bekes,1855575,,,,
75,Gabor Vattay,1741175,,,,
76,George Walkden,52269660,,,,
77,Gijs Schumacher,34444206,,,,
78,Giorgia Ramponi,144763838,,,,
79,Guida Veiga,47549224,,,,
80,Haruhiko Maenami,98234305,,,,
81,Hernan Makse,146086915,,"['A Makse Hernan', 'Astudillo Hernan']",0.0,Chemistry
82,Hiroki Sakaji,83689730,,,,
83,Hélène Bouchet,3755051,,,,
84,Ifat Emi,2746533,,"['Ifat A. Emi', 'Ifat Emi', 'Ifat Afrin Emi']",118.0,Computer Science
85,Iraklis Moutidis,71022991,,,27.0,Computer Science
86,Irina Vartanova,2085976718,,"['I Vartanova', 'Irina I. Vartanova', 'Irina Vartanova']",136.0,Medicine
87,Isabelle Tingzon,1580935862,,"['I. Tingzon', 'Isabelle Tingzon']",67.0,Computer Science
88,Ivan Garibay ,1769316,,['Ivan Garibay'],137.0,Computer Science
89,James Evans,119694053,,,,
90,James Gleeson,2067402663,,"['J Gleeson', 'James Joseph Gleeson', 'James Gleeson']",140.0,Medicine
91,Jan Overgoor,2943419,,,,
92,Jan van der Laan,89482883,,['Jan Van Der Laan'],0.0,Chemistry
93,Jennifer Wortman Vaughan,147171110,,,,
